,"θ_0,0","θ_0,1","θ_0,2","θ_0,3","θ_0,4","θ_0,5","θ_1,0","θ_1,1","θ_1,2","θ_1,3","θ_1,4","θ_1,5","θ_2,0","θ_2,1","θ_2,2","θ_2,3","θ_2,4","θ_2,5","θ_3,0","θ_3,1","θ_3,2","θ_3,3","θ_3,4","θ_3,5","θ_4,0","θ_4,1","θ_4,2","θ_4,3","θ_4,4","θ_4,5","θ_5,0","θ_5,1","θ_5,2","θ_5,3","θ_5,4","θ_5,5",loss_total,loss_kl
38,1.2638136251482766,-0.06847970018310574,-0.005627145139812921,0.0018089891873753657,0.15981619738524758,-0.0181787247620549,-0.06847970018310574,1.256515965603906,0.07585622218799204,0.014322027299168384,-0.1275961901276071,0.08253196024647917,-0.005627145139812921,0.07585622218799204,1.2248865019375828,0.04236051052334003,-0.10024552354439008,0.06790668373765055,0.0018089891873753657,0.014322027299168384,0.04236051052334003,1.1840274311685017,-0.006416966396849947,-0.001428502562914522,0.15981619738524758,-0.1275961901276071,-0.10024552354439008,-0.006416966396849947,1.097573574831217,-0.07709023896899886,-0.0181787247620549,0.08253196024647917,0.06790668373765055,-0.001428502562914522,-0.07709023896899886,0.9445903222971371,0.008576460259373976,0.004288230129686988
39,1.2638136251482766,-0.06876380723074918,-0.005783440229961078,0.0017509238509853988,0.1604923754885593,-0.01837813698423883,-0.06876380723074918,1.256515965603906,0.07616673484084463,0.014396834265336968,-0.1280003095300607,0.08291730407129962,-0.005783440229961078,0.07616673484084463,1.2248865019375828,0.04244300320857223,-0.10057279714269815,0.06812445558742324,0.0017509238509853988,0.014396834265336968,0.04244300320857223,1.1840274311685017,-0.006385162666946959,-0.0014747772219413135,0.1604923754885593,-0.1280003095300607,-0.10057279714269815,-0.006385162666946959,1.097573574831217,-0.07744063695671137,-0.01837813698423883,0.08291730407129962,0.06812445558742324,-0.0014747772219413135,-0.07744063695671137,0.9445903222971371,0.008560007246916003,0.0042800036234580015
40,1.2638136251482766,-0.06902742015308586,-0.00593047546744893,0.0016967724809469934,0.1611195789231666,-0.018565426148450026,-0.06902742015308586,1.256515965603906,0.07645484860515235,0.014466362201973119,-0.1283746660425,0.08327633351577636,-0.00593047546744893,0.07645484860515235,1.2248865019375828,0.04251796701414614,-0.10087553304525514,0.06832597277403503,0.0016967724809469934,0.014466362201973119,0.04251796701414614,1.1840274311685017,-0.006355082796286899,-0.0015180090196729287,0.1611195789231666,-0.1283746660425,-0.10087553304525514,-0.006355082796286899,1.097573574831217,-0.07776805727447637,-0.018565426148450026,0.08327633351577636,0.06832597277403503,-0.0015180090196729287,-0.07776805727447637,0.9445903222971371,0.0085473773794616,0.0042736886897308
41,1.2638136251482766,-0.06927201329721835,-0.006068697487723268,0.0016463214133620183,0.16170136026258353,-0.01874125705113662,-0.06927201329721835,1.256515965603906,0.07672219239096081,0.014530972372041684,-0.1287215074033509,0.08361085799450606,-0.006068697487723268,0.07672219239096081,1.2248865019375828,0.04258610557404275,-0.10115559618555629,0.06851250615762046,0.0016463214133620183,0.014530972372041684,0.04258610557404275,1.1840274311685017,-0.006326656024514452,-0.001558360842736228,0.16170136026258353,-0.1287215074033509,-0.10115559618555629,-0.006326656024514452,1.097573574831217,-0.0780740113494991,-0.01874125705113662,0.08361085799450606,0.06851250615762046,-0.001558360842736228,-0.0780740113494991,0.9445903222971371,0.008537934525044786,0.004268967262522393
42,1.2638136251482766,-0.06949895577767655,-0.006198545432862202,0.0015993612374713684,0.16224101460688176,-0.018906267880730663,-0.06949895577767655,1.256515965603906,0.0769702747903857,0.014591001979676133,-0.12904290406896596,0.08392256133814517,-0.006198545432862202,0.0769702747903857,1.2248865019375828,0.0426480544355826,-0.10141470617762577,0.06868522154546418,0.0015993612374713684,0.014591001979676133,0.0426480544355826,1.1840274311685017,-0.006299810377149717,-0.0015959920264857306,0.16224101460688176,-0.12904290406896596,-0.10141470617762577,-0.006299810377149717,1.097573574831217,-0.07835990965268388,-0.018906267880730663,0.08392256133814517,0.06868522154546418,-0.0015959920264857306,-0.07835990965268388,0.9445903222971371,0.008531138180481405,0.004265569090240702
43,1.2638136251482766,-0.06970951886500824,-0.006320448688592005,0.0015556880834331566,0.16274159809382746,-0.01906106980403279,-0.06970951886500824,1.256515965603906,0.0772004931807844,0.014646765740356678,-0.12934076420340768,0.08421301059929373,-0.006320448688592005,0.0772004931807844,1.2248865019375828,0.04270438790882272,-0.10165444915877325,0.06884518891045548,0.0015556880834331566,0.014646765740356678,0.04270438790882272,1.1840274311685017,-0.006274473621232886,-0.0016310575446661468,0.16274159809382746,-0.12934076420340768,-0.10165444915877325,-0.006274473621232886,1.097573574831217,-0.07862706875474026,-0.01906106980403279,0.08421301059929373,0.06884518891045548,-0.0016310575446661468,-0.07862706875474026,0.9445903222971371,0.008526529640934987,0.0042632648204674935
44,1.2638136251482766,-0.06990488287031157,-0.006434825105602083,0.0015151046022495328,0.1632059451158264,-0.019206246849497576,-0.06990488287031157,1.256515965603906,0.07741414212015865,0.014698557351313552,-0.1296168472687418,0.08448366423923812,-0.006434825105602083,0.07741414212015865,1.2248865019375828,0.04275562520259587,-0.10187628859203926,0.06899339075474546,0.0015151046022495328,0.014698557351313552,0.04275562520259587,1.1840274311685017,-0.006250574023216505,-0.0016637073880496748,0.1632059451158264,-0.1296168472687418,-0.10187628859203926,-0.006250574023216505,1.097573574831217,-0.07887671783516599,-0.019206246849497576,0.08448366423923812,0.06899339075474546,-0.0016637073880496748,-0.07887671783516599,0.9445903222971371,0.008523720144502948,0.004261860072251474
45,1.2638136251482766,-0.07008614355874676,-0.006542079633411937,0.0014774206880556699,0.16363668432558903,-0.0193423560346421,-0.07008614355874676,1.256515965603906,0.0776124210903229,0.014746650867537904,-0.12987277636317449,0.0847358797375782,-0.006542079633411937,0.0776124210903229,1.2248865019375828,0.04280223592314248,-0.10208157513032755,0.06913072970113311,0.0014774206880556699,0.014746650867537904,0.04280223592314248,1.1840274311685017,-0.0062280409432036565,-0.0016940861032442465,0.16363668432558903,-0.12987277636317449,-0.10208157513032755,-0.0062280409432036565,1.097573574831217,-0.0791100046948646,-0.0193423560346421,0.0847358797375782,0.06913072970113311,-0.0016940861032442465,-0.0791100046948646,0.9445903222971371,0.008522380709401057,0.004261190354700528
46,1.2638136251482766,-0.07025431812293675,-0.00664260330437988,0.001442453985811737,0.16403625350962767,-0.01946992769231744,-0.07025431812293675,1.256515965603906,0.0777964416393237,0.014791301988835177,-0.13011004943686186,0.08497092066442437,-0.00664260330437988,0.0777964416393237,1.2248865019375828,0.042844645003198456,-0.10227155563280281,0.06925803538663147,0.001442453985811737,0.014791301988835177,0.042844645003198456,1.1840274311685017,-0.006206805294049567,-0.0017223324665958184,0.16403625350962767,-0.13011004943686186,-0.10227155563280281,-0.006206805294049567,1.097573574831217,-0.07932800131731618,-0.01946992769231744,0.08497092066442437,0.06925803538663147,-0.0017223324665958184,-0.07932800131731618,0.9445903222971371,0.008522233422171881,0.004261116711085941
47,1.2638136251482766,-0.07041035074520056,-0.006736772513657388,0.0014100302212194545,0.1644069134047495,-0.019589465957124613,-0.07041035074520056,1.256515965603906,0.07796723397073042,0.014832749263285674,-0.1303300495000221,0.08518996325250415,-0.006736772513657388,0.07796723397073042,1.2248865019375828,0.04288323712214559,-0.10244738141416622,0.06937607072535129,0.0014100302212194545,0.014832749263285674,0.04288323712214559,1.1840274311685017,-0.006186799889165219,-0.0017485792714078247,0.1644069134047495,-0.1303300495000221,-0.10244738141416622,-0.006186799889165219,1.097573574831217,-0.07953170901818271,-0.019589465957124613,0.08518996325250415,0.06937607072535129,-0.0017485792714078247,-0.07953170901818271,0.9445903222971371,0.008523043970157535,0.004261521985078768
